# Comprehensive User Agent Database for Evasion
# Format: CATEGORY|USER_AGENT_STRING|FREQUENCY_WEIGHT
CHROME|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36|HIGH
CHROME|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36|HIGH
FIREFOX|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0|HIGH
FIREFOX|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:121.0) Gecko/20100101 Firefox/121.0|HIGH
SAFARI|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15|MEDIUM
EDGE|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0|MEDIUM
MOBILE_CHROME|Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36|LOW
MOBILE_SAFARI|Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1|LOW
CURL|curl/7.68.0|VERY_LOW
WGET|Wget/1.20.3 (linux-gnu)|VERY_LOW
PYTHON|Python-urllib/3.8|VERY_LOW
SCANNER|Nmap Scripting Engine|NEVER
SCANNER|sqlmap/1.6.12|NEVER
SCANNER|Nikto/2.1.6|NEVER
LEGITIMATE_BOT|Googlebot/2.1 (+http://www.google.com/bot.html)|LOW
LEGITIMATE_BOT|Bingbot/2.0 (+http://www.bing.com/bingbot.htm)|LOW
SECURITY_SCANNER|Mozilla/5.0 (compatible; Nessus)|NEVER
